minutes,charger_en,stat,ts_raw,ts_mV,vbat_raw,vbat_mV
0,1,1,65530,115188,2600,3046
1,1,0,1255,2206,3064,3590
2,1,0,1239,2176,3198,3746
3,1,0,1231,2162,3244,3800
4,1,0,1233,2166,3288,3852
5,1,0,1233,2166,3299,3866
6,1,0,1233,2166,3316,3884
7,1,0,1230,2162,3330,3902
8,1,0,1234,2168,3343,3916
9,1,0,1226,2154,3353,3928
10,1,0,1234,2168,3362,3938
11,1,0,1233,2166,3379,3958
12,1,0,1231,2162,3401,3984
13,1,0,1244,2186,3425,4012
14,1,0,1302,2288,3558,4168
15,1,0,1331,2338,3574,4188
16,1,0,1365,2398,3577,4190
17,1,0,1399,2458,3580,4194
18,1,0,1428,2510,3576,4190
19,1,0,1458,2562,3579,4194
20,1,0,1485,2610,3588,4204
21,1,0,1480,2600,3583,4198
22,1,0,1493,2624,3575,4188
23,1,0,1503,2640,3581,4196
24,1,0,1532,2692,3575,4188
25,1,0,1532,2692,3585,4200
26,1,0,1537,2700,3583,4198
27,1,0,1539,2704,3583,4198
28,1,0,1566,2752,3575,4188
29,1,0,1575,2768,3588,4204
30,1,0,1578,2772,3579,4194
31,1,0,1594,2800,3584,4200
32,1,0,1594,2800,3584,4200
33,1,0,1600,2812,3576,4190
34,1,0,1610,2830,3575,4188
35,1,0,1608,2826,3596,4214
36,1,0,1617,2842,3582,4196
37,1,0,1622,2850,3580,4194
38,1,0,1616,2840,3577,4190
39,1,0,1628,2860,3583,4198
40,1,0,1629,2862,3590,4206
41,1,0,1636,2874,3578,4192
42,1,0,1631,2866,3578,4192
43,1,0,1642,2886,3578,4192
44,1,0,1643,2888,3583,4198
45,1,0,1643,2888,3601,4218
46,1,0,1653,2904,3584,4200
47,1,0,1644,2888,3581,4196
48,1,0,1660,2916,3591,4208
49,1,0,1653,2904,3580,4194
50,1,0,1660,2916,3571,4184
51,1,0,1659,2916,3580,4194
52,1,0,1668,2932,3600,4218
53,1,0,1659,2916,3587,4202
54,1,0,1663,2922,3580,4194
55,1,0,1661,2918,3587,4202
56,1,0,1672,2938,3582,4196
57,1,0,1664,2924,3584,4200
58,1,0,1663,2922,3589,4204
59,1,0,1664,2924,3581,4196
60,1,0,1666,2928,3569,4182
61,1,0,1673,2940,3579,4194
62,1,0,1671,2936,3590,4206
63,1,0,1670,2934,3588,4204
64,1,0,1666,2928,3581,4196
65,1,0,1668,2932,3583,4198
66,1,0,1674,2942,3590,4206
67,1,0,1670,2934,3577,4190
68,1,0,1674,2942,3584,4200
69,1,0,1665,2926,3592,4208
70,1,0,1665,2926,3582,4196
71,1,0,1673,2940,3584,4200
72,1,0,1679,2950,3582,4196
73,1,0,1676,2946,3581,4196
74,1,0,1667,2930,3587,4202
75,1,0,1680,2952,3601,4218
76,1,0,1674,2942,3583,4198
77,1,0,1679,2950,3575,4188
78,1,0,1676,2946,3588,4204
79,1,0,1674,2942,3592,4208
80,1,0,1671,2936,3582,4196
81,1,0,1676,2946,3587,4202
82,1,0,1670,2934,3589,4204
83,1,0,1673,2940,3587,4202
84,1,0,1678,2948,3590,4206
85,1,0,1671,2936,3591,4208
86,1,0,1675,2944,3584,4200
87,1,0,1681,2954,3586,4202
88,1,0,1674,2942,3595,4212
89,1,0,1667,2930,3590,4206
90,1,0,1683,2958,3588,4204
91,1,0,1679,2950,3588,4204
92,1,0,1672,2938,3578,4192
93,1,0,1688,2966,3604,4222
94,1,0,1678,2948,3600,4218
95,1,0,1676,2946,3591,4208
96,1,0,1677,2946,3583,4198
97,1,0,1672,2938,3594,4210
98,1,0,1684,2960,3591,4208
99,1,0,1679,2950,3583,4198
100,1,0,1677,2946,3599,4216
101,1,0,1676,2946,3580,4194
102,1,0,1686,2962,3575,4188
103,1,0,1680,2952,3592,4208
104,1,0,1671,2936,3575,4188
105,1,0,1676,2946,3587,4202
106,1,0,1671,2936,3590,4206
107,1,0,1679,2950,3588,4204
108,1,0,1681,2954,3585,4200
109,1,0,1674,2942,3590,4206
110,1,0,1674,2942,3588,4204
111,1,0,1684,2960,3614,4234
112,1,0,1680,2952,3614,4234
113,1,0,1680,2952,3589,4204
114,1,0,1680,2952,3580,4194
115,1,0,1671,2936,3575,4188
116,1,0,1677,2946,3583,4198
117,1,0,1675,2944,3588,4204
118,1,0,1674,2942,3574,4188
119,1,0,1679,2950,3592,4208
120,1,0,1654,2906,3588,4204
121,1,0,1680,2952,3584,4200
122,1,0,1680,2952,3580,4194
123,1,0,1671,2936,3583,4198
124,1,0,1684,2960,3583,4198
125,1,0,1676,2946,3581,4196
126,1,0,1671,2936,3576,4190
127,1,0,1679,2950,3590,4206
128,1,0,1678,2948,3580,4194
129,1,0,1673,2940,3578,4192
130,1,0,1676,2946,3586,4202
131,1,0,1675,2944,3585,4200
132,1,0,1672,2938,3575,4188
133,1,0,1679,2950,3581,4196
134,1,0,1678,2948,3583,4198
135,1,0,1671,2936,3600,4218
136,1,0,1682,2956,3583,4198
137,1,0,1680,2952,3591,4208
138,1,0,1673,2940,3592,4208
139,1,0,1671,2936,3598,4216
140,1,0,1671,2936,3592,4208
141,1,0,1678,2948,3586,4202
142,1,0,1672,2938,3597,4214
143,1,0,1692,2974,3588,4204
144,1,0,1676,2946,3583,4198
145,1,0,1680,2952,3579,4194
146,1,0,1680,2952,3573,4186
147,1,0,1673,2940,3586,4202
148,1,0,1692,2974,3591,4208
149,1,0,1688,2966,3582,4196
150,1,0,1683,2958,3593,4210
151,1,0,1685,2960,3572,4184
152,1,0,1688,2966,3590,4206
153,1,0,1683,2958,3583,4198
154,1,0,1686,2962,3592,4208
155,1,0,1681,2954,3591,4208
156,1,0,1676,2946,3573,4186
157,1,0,1686,2962,3592,4208
158,1,0,1679,2950,3583,4198
159,1,0,1679,2950,3590,4206
160,1,0,1689,2968,3583,4198
161,1,0,1688,2966,3601,4218
162,1,0,1680,2952,3589,4204
163,1,0,1688,2966,3588,4204
164,1,0,1690,2970,3584,4200
165,1,0,1681,2954,3592,4208
166,1,0,1682,2956,3600,4218
167,1,0,1687,2964,3584,4200
168,1,0,1687,2964,3584,4200
169,1,0,1684,2960,3578,4192
170,1,0,1688,2966,3598,4216
171,1,0,1691,2972,3588,4204
172,1,0,1686,2962,3596,4214
173,1,0,1688,2966,3588,4204
174,1,0,1688,2966,3576,4190
175,1,0,1688,2966,3585,4200
176,1,0,1685,2960,3583,4198
177,1,0,1694,2976,3585,4200
178,1,0,1691,2972,3580,4194
179,1,0,1712,3008,3583,4198
180,1,0,1691,2972,3595,4212
181,1,0,1701,2990,3584,4200
182,1,0,1696,2980,3616,4236
183,1,0,1699,2986,3580,4194
184,1,0,1692,2974,3583,4198
185,1,0,1693,2974,3583,4198
186,1,0,1696,2980,3583,4198
187,1,0,1696,2980,3600,4218
188,1,0,1696,2980,3596,4214
189,1,0,1695,2978,3592,4208
190,1,0,1698,2984,3589,4204
191,1,0,1694,2976,3585,4200
192,1,0,1696,2980,3588,4204
