minutes,charger_en,stat,ts_raw,ts_mV,vbat_raw,vbat_mV
0,1,1,65528,115184,2582,3024
1,1,0,1252,2200,3023,3542
2,1,0,1234,2168,3084,3614
3,1,0,1238,2176,3116,3650
4,1,0,1237,2174,3155,3696
5,1,0,1233,2166,3176,3720
6,1,0,1236,2172,3208,3758
7,1,0,1237,2174,3214,3766
8,1,0,1250,2196,3230,3784
9,1,0,1242,2182,3231,3786
10,1,0,1244,2186,3234,3788
11,1,0,1237,2174,3233,3788
12,1,0,1239,2176,3233,3788
13,1,0,1238,2176,3240,3796
14,1,0,1239,2176,3239,3794
15,1,0,1239,2176,3246,3802
16,1,0,1239,2176,3247,3804
17,1,0,1245,2188,3265,3826
18,1,0,1247,2190,3251,3808
19,1,0,1243,2184,3261,3820
20,1,0,1242,2182,3261,3820
21,1,0,1235,2170,3272,3834
22,1,0,1249,2194,3265,3826
23,1,0,1248,2192,3275,3836
24,1,0,1244,2186,3281,3844
25,1,0,1255,2206,3280,3842
26,1,0,1243,2184,3282,3846
27,1,0,1253,2202,3288,3852
28,1,0,1260,2214,3303,3870
29,1,0,1253,2202,3292,3856
30,1,0,1254,2204,3294,3860
31,1,0,1258,2210,3294,3860
32,1,0,1264,2220,3287,3850
33,1,0,1257,2208,3312,3880
34,1,0,1258,2210,3303,3870
35,1,0,1263,2220,3314,3882
36,1,0,1262,2218,3308,3876
37,1,0,1265,2222,3309,3876
38,1,0,1273,2236,3333,3904
39,1,0,1260,2214,3318,3888
40,1,0,1263,2220,3327,3898
41,1,0,1259,2212,3311,3880
42,1,0,1259,2212,3320,3890
43,1,0,1268,2228,3322,3892
44,1,0,1272,2234,3324,3894
45,1,0,1270,2232,3327,3898
46,1,0,1269,2230,3321,3890
47,1,0,1263,2220,3327,3898
48,1,0,1263,2220,3327,3898
49,1,0,1272,2234,3330,3902
50,1,0,1275,2240,3332,3904
51,1,0,1259,2212,3335,3908
52,1,0,1263,2220,3333,3904
53,1,0,1259,2212,3333,3904
54,1,0,1259,2212,3340,3914
55,1,0,1271,2234,3331,3902
56,1,0,1271,2234,3336,3908
57,1,0,1268,2228,3370,3948
59,1,0,1270,2232,3339,3912
59,1,0,1276,2242,3348,3922
60,1,0,1276,2242,3343,3916
61,1,0,1281,2250,3348,3922
62,1,0,1284,2256,3360,3936
63,1,0,1282,2252,3351,3926
64,1,0,1282,2252,3347,3922
65,1,0,1285,2258,3347,3922
66,1,0,1283,2254,3364,3942
67,1,0,1290,2266,3360,3936
68,1,0,1278,2246,3365,3942
69,1,0,1290,2266,3368,3946
70,1,0,1285,2258,3366,3944
71,1,0,1281,2250,3384,3964
72,1,0,1281,2250,3362,3938
73,1,0,1279,2248,3365,3942
74,1,0,1285,2258,3376,3956
75,1,0,1294,2274,3373,3952
76,1,0,1289,2264,3385,3966
77,1,0,1296,2278,3376,3956
78,1,0,1291,2268,3378,3958
79,1,0,1291,2268,3377,3956
80,1,0,1295,2276,3379,3958
81,1,0,1302,2288,3394,3976
82,1,0,1295,2276,3396,3978
83,1,0,1292,2270,3398,3982
84,1,0,1308,2298,3401,3984
85,1,0,1299,2282,3397,3980
86,1,0,1300,2284,3399,3982
87,1,0,1300,2284,3403,3986
88,1,0,1306,2294,3409,3994
89,1,0,1308,2298,3413,3998
90,1,0,1307,2296,3419,4006
91,1,0,1308,2298,3422,4010
92,1,0,1308,2298,3422,4010
93,1,0,1319,2318,3418,4004
94,1,0,1326,2330,3421,4008
95,1,0,1316,2312,3428,4016
96,1,0,1328,2334,3427,4016
97,1,0,1328,2334,3433,4022
98,1,0,1325,2328,3436,4026
99,1,0,1321,2322,3448,4040
100,1,0,1329,2336,3447,4038
101,1,0,1338,2350,3470,4066
102,1,0,1332,2340,3450,4042
103,1,0,1341,2356,3431,4020
104,1,0,1339,2352,3460,4054
105,1,0,1346,2366,3467,4062
106,1,0,1352,2376,3472,4068
107,1,0,1349,2370,3472,4068
108,1,0,1347,2366,3475,4072
109,1,0,1360,2390,3484,4082
110,1,0,1360,2390,3475,4072
111,1,0,1360,2390,3487,4086
112,1,0,1361,2392,3491,4090
113,1,0,1363,2394,3493,4092
114,1,0,1373,2412,3491,4090
115,1,0,1373,2412,3501,4102
116,1,0,1380,2424,3506,4108
117,1,0,1379,2424,3507,4108
118,1,0,1384,2432,3502,4102
119,1,0,1392,2446,3507,4108
120,1,0,1392,2446,3513,4116
121,1,0,1393,2448,3515,4118
122,1,0,1396,2452,3523,4128
123,1,0,1399,2458,3524,4128
124,1,0,1401,2462,3526,4132
125,1,0,1399,2458,3533,4140
126,1,0,1403,2466,3533,4140
127,1,0,1407,2472,3523,4128
128,1,0,1414,2484,3506,4108
129,1,0,1416,2488,3536,4142
130,1,0,1420,2496,3542,4150
131,1,0,1418,2492,3538,4146
132,1,0,1423,2500,3545,4154
133,1,0,1421,2496,3539,4146
134,1,0,1431,2514,3545,4154
135,1,0,1435,2522,3550,4160
136,1,0,1442,2534,3551,4160
137,1,0,1445,2540,3549,4158
138,1,0,1450,2548,3551,4160
139,1,0,1452,2552,3558,4168
140,1,0,1459,2564,3560,4170
141,1,0,1467,2578,3552,4162
142,1,0,1466,2576,3559,4170
143,1,0,1475,2592,3563,4174
144,1,0,1480,2600,3560,4170
145,1,0,1484,2608,3565,4176
146,1,0,1486,2612,3568,4180
147,1,0,1491,2620,3566,4178
148,1,0,1491,2620,3575,4188
149,1,0,1503,2640,3572,4184
150,1,0,1508,2650,3566,4178
