minutes,charger_en,stat,ts_raw,ts_mV,vbat_raw,vbat_mV
0,1,0,1715,3014,3580,4194
0,1,0,1694,2976,3584,4200
0,1,0,1699,2986,3592,4208
1,1,0,1698,2984,3584,4200
2,1,0,1696,2980,3592,4208
3,1,0,1696,2980,3583,4198
4,1,0,1694,2976,3592,4208
5,1,0,1701,2990,3584,4200
6,1,0,1704,2994,3586,4202
7,1,0,1695,2978,3600,4218
8,1,0,1708,3002,3583,4198
9,1,1,1704,2994,3551,4160
10,1,1,1706,2998,3549,4158
11,1,1,1710,3004,3543,4150
12,1,1,1704,2994,3552,4162
13,1,1,1701,2990,3544,4152
14,1,1,1700,2988,3540,4148
15,1,1,1712,3008,3539,4146
16,1,1,1707,3000,3533,4140
17,1,1,1709,3004,3545,4154
18,1,1,1703,2992,3538,4146
19,1,1,1708,3002,3546,4154
20,1,1,1702,2990,3547,4156
21,1,1,1702,2990,3541,4148
22,1,1,1706,2998,3548,4156
23,1,1,1709,3004,3531,4136
24,1,1,1704,2994,3542,4150
25,1,1,1708,3002,3541,4148
26,1,1,1713,3010,3535,4142
27,1,1,1708,3002,3544,4152
28,1,1,1707,3000,3543,4150
29,1,1,1713,3010,3538,4146
30,1,1,1716,3016,3544,4152
31,1,1,1711,3006,3544,4152
32,1,1,1709,3004,3545,4154
33,1,1,1709,3004,3541,4148
34,1,1,1710,3004,3544,4152
35,1,1,1714,3012,3543,4150
36,1,1,1705,2996,3538,4146
37,1,1,1712,3008,3542,4150
38,1,1,1712,3008,3535,4142
39,1,1,1711,3006,3537,4144
40,1,1,1713,3010,3537,4144
41,1,1,1708,3002,3535,4142
42,1,1,1710,3004,3542,4150
43,1,1,1707,3000,3535,4142
44,1,1,1711,3006,3547,4156
45,1,1,1712,3008,3544,4152
46,1,1,1704,2994,3544,4152
47,1,1,1709,3004,3544,4152
48,1,1,1703,2992,3541,4148
49,1,1,1710,3004,3545,4154
50,1,1,1707,3000,3543,4150
51,1,1,1708,3002,3544,4152
52,1,1,1710,3004,3548,4156
53,1,1,1710,3004,3537,4144
54,1,1,1707,3000,3537,4144
55,1,1,1703,2992,3538,4146
56,1,1,1712,3008,3543,4150
57,1,1,1709,3004,3544,4152
58,1,1,1703,2992,3539,4146
59,1,1,1716,3016,3544,4152
60,1,1,1714,3012,3546,4154
61,1,1,1707,3000,3538,4146
62,1,1,1710,3004,3539,4146
63,1,1,1711,3006,3544,4152
64,1,1,1711,3006,3542,4150
65,1,1,1710,3004,3541,4148
66,1,1,1714,3012,3545,4154
67,1,1,1714,3012,3540,4148
68,1,1,1713,3010,3540,4148
69,1,1,1707,3000,3540,4148
70,1,1,1711,3006,3539,4146
71,1,1,1712,3008,3540,4148
72,1,1,1713,3010,3540,4148
73,1,1,1714,3012,3534,4140
74,1,1,1706,2998,3544,4152
75,1,1,1709,3004,3534,4140
76,1,1,1708,3002,3544,4152
77,1,1,1713,3010,3542,4150
78,1,1,1708,3002,3543,4150
79,1,1,1710,3004,3544,4152
80,1,1,1709,3004,3540,4148
81,1,1,1712,3008,3544,4152
82,1,1,1711,3006,3537,4144
83,1,1,1710,3004,3541,4148
84,1,1,1720,3022,3540,4148
85,1,1,1713,3010,3542,4150
86,1,1,1708,3002,3538,4146
87,1,1,1712,3008,3544,4152
88,1,1,1710,3004,3537,4144
89,1,1,1717,3018,3544,4152
90,1,1,1715,3014,3540,4148
91,1,1,1717,3018,3540,4148
92,1,1,1713,3010,3546,4154
93,1,1,1712,3008,3540,4148
94,1,1,1715,3014,3543,4150
95,1,1,1716,3016,3539,4146
96,1,1,1715,3014,3539,4146
97,1,1,1713,3010,3543,4150
98,1,1,1715,3014,3550,4160
99,1,1,1710,3004,3544,4152
100,1,1,1710,3004,3539,4146
101,1,1,1715,3014,3537,4144
102,1,1,1716,3016,3533,4140
103,1,1,1711,3006,3540,4148
104,1,1,1712,3008,3542,4150
105,1,1,1711,3006,3534,4140
106,1,1,1712,3008,3538,4146
107,1,1,1714,3012,3539,4146
108,1,1,1712,3008,3537,4144
109,1,1,1713,3010,3541,4148
110,1,1,1707,3000,3541,4148
111,1,1,1714,3012,3542,4150
112,1,1,1720,3022,3538,4146
113,1,1,1714,3012,3539,4146
114,1,1,1709,3004,3542,4150
115,1,1,1714,3012,3544,4152
116,1,1,1713,3010,3544,4152
117,1,1,1719,3020,3541,4148
118,1,1,1712,3008,3535,4142
119,1,1,1713,3010,3542,4150
120,1,1,1721,3024,3539,4146
121,1,1,1720,3022,3535,4142
122,1,1,1711,3006,3539,4146
123,1,1,1710,3004,3544,4152
124,1,1,1723,3028,3540,4148
125,1,1,1716,3016,3536,4142
126,1,1,1718,3018,3540,4148
127,1,1,1712,3008,3540,4148
128,1,1,1716,3016,3544,4152
129,1,1,1717,3018,3540,4148
130,1,1,1720,3022,3534,4140
131,1,1,1712,3008,3539,4146
132,1,1,1717,3018,3543,4150
133,1,1,1711,3006,3535,4142
134,1,1,1710,3004,3538,4146
135,1,1,1712,3008,3537,4144
136,1,1,1703,2992,3535,4142
137,1,1,65520,115170,3497,4098
138,1,1,65526,115182,3495,4094
139,1,1,65521,115172,3495,4094
140,1,1,65518,115168,3484,4082
141,1,1,65522,115174,3488,4086
142,1,1,65520,115170,3484,4082
143,1,1,65519,115170,3479,4076
144,1,1,65524,115178,3485,4082
145,1,1,65522,115174,3513,4116
146,1,1,65524,115178,3476,4072
147,1,1,65526,115182,3467,4062
148,1,1,65525,115180,3468,4064
149,1,1,65522,115174,3472,4068
150,1,1,65519,115170,3468,4064
151,1,1,65524,115178,3465,4060
152,1,1,65521,115172,3469,4064
153,1,1,65524,115178,3470,4066
154,1,1,65523,115176,3465,4060
155,1,1,65524,115178,3468,4064
156,1,1,65524,115178,3466,4060
157,1,1,65521,115172,3460,4054
158,1,1,65518,115168,3424,4012
159,1,1,65522,115174,3455,4048
160,1,1,65521,115172,3461,4054
161,1,1,65519,115170,3455,4048
162,1,1,65520,115170,3468,4064
163,1,1,65521,115172,3455,4048
164,1,1,65522,115174,3455,4048
165,1,1,65519,115170,3457,4050
166,1,1,65519,115170,3458,4052
167,1,1,65523,115176,3457,4050
168,1,1,65520,115170,3464,4058
169,1,1,65517,115166,3452,4044
170,1,1,65517,115166,3457,4050
171,1,1,65520,115170,3457,4050
172,1,1,65519,115170,3448,4040
173,1,1,65521,115172,3460,4054
174,1,1,65515,115162,3448,4040
175,1,1,65520,115170,3445,4036
176,1,1,65524,115178,3454,4046
177,1,1,65516,115164,3451,4044
178,1,1,65525,115180,3448,4040
179,1,1,65518,115168,3453,4046
180,1,1,65522,115174,3447,4038
181,1,1,65522,115174,3449,4040
182,1,1,65519,115170,3445,4036
183,1,1,65518,115168,3444,4034
184,1,1,65521,115172,3442,4032
185,1,1,65523,115176,3449,4040
186,1,1,65518,115168,3448,4040
187,1,1,65522,115174,3446,4038
188,1,1,65521,115172,3444,4034
189,1,1,65528,115184,3439,4030
190,1,1,65523,115176,3443,4034
191,1,1,65519,115170,3444,4034
192,1,1,65524,115178,3440,4030
193,1,1,65519,115170,3441,4032
194,1,1,65519,115170,3443,4034
195,1,1,65519,115170,3433,4022
