minutes,charger_en,stat,ts_raw,ts_mV,vbat_raw,vbat_mV
0,1,1,65528,115184,2393,2804
0,1,1,0,0,2383,2792
1,1,0,1422,2498,3434,4024
2,1,0,1421,2496,3440,4030
3,1,0,1421,2496,3444,4034
4,1,0,1420,2496,3447,4038
5,1,0,1418,2492,3445,4036
6,1,0,1421,2496,3456,4050
7,1,0,1420,2496,3458,4052
8,1,0,1417,2490,3459,4052
9,1,0,1424,2502,3463,4058
10,1,0,1434,2520,3504,4106
11,1,0,1430,2512,3511,4114
12,1,0,1427,2508,3507,4108
13,1,0,1436,2524,3507,4108
14,1,0,1435,2522,3520,4124
15,1,0,1442,2534,3519,4122
16,1,0,1438,2526,3527,4132
17,1,0,1438,2526,3532,4138
18,1,0,1446,2540,3524,4128
19,1,0,1450,2548,3532,4138
21,1,0,1459,2564,3540,4148
22,1,0,1462,2568,3544,4152
23,1,0,1473,2588,3552,4162
24,1,0,1477,2596,3552,4162
25,1,0,1480,2600,3544,4152
26,1,0,1492,2622,3550,4160
27,1,0,1492,2622,3545,4154
28,1,0,1495,2626,3549,4158
29,1,0,1497,2630,3548,4156
30,1,0,1511,2656,3548,4156
31,1,0,1519,2670,3555,4166
32,1,0,1525,2680,3550,4160
33,1,0,1527,2684,3557,4168
34,1,0,1512,2656,3560,4170
35,1,0,1546,2716,3560,4170
36,1,0,1554,2730,3551,4160
37,1,0,1552,2728,3558,4168
38,1,0,1561,2742,3551,4160
39,1,0,1568,2756,3562,4174
40,1,0,1569,2758,3560,4170
41,1,0,1576,2770,3555,4166
42,1,0,1580,2776,3560,4170
43,1,0,1583,2782,3551,4160
44,1,0,1592,2798,3557,4168
45,1,0,1604,2818,3558,4168
46,1,0,1598,2808,3560,4170
47,1,0,1596,2804,3555,4166
48,1,0,1604,2818,3555,4166
49,1,0,1607,2824,3559,4170
50,1,0,1599,2810,3549,4158
51,1,0,1612,2832,3562,4174
52,1,0,1623,2852,3555,4166
53,1,0,1615,2838,3553,4162
54,1,0,1627,2858,3555,4166
55,1,0,1627,2858,3568,4180
56,1,0,1640,2882,3556,4166
57,1,0,1641,2884,3551,4160
58,1,0,1648,2896,3559,4170
59,1,0,1651,2902,3561,4172
60,1,0,1651,2902,3554,4164
61,1,0,1651,2902,3548,4156
62,1,0,1654,2906,3555,4166
63,1,0,1651,2902,3562,4174
64,1,0,1661,2918,3558,4168
65,1,0,1663,2922,3563,4174
66,1,0,1664,2924,3559,4170
67,1,0,1659,2916,3563,4174
68,1,0,1666,2928,3563,4174
69,1,0,1666,2928,3559,4170
70,1,0,1667,2930,3551,4160
71,1,0,1676,2946,3548,4156
72,1,0,1671,2936,3560,4170
73,1,0,1672,2938,3556,4166
74,1,0,1678,2948,3549,4158
75,1,0,1678,2948,3568,4180
76,1,0,1674,2942,3560,4170
77,1,0,1675,2944,3559,4170
78,1,0,1679,2950,3564,4176
79,1,0,1676,2946,3556,4166
80,1,0,1683,2958,3555,4166
81,1,0,1682,2956,3560,4170
82,1,0,1676,2946,3555,4166
83,1,0,1684,2960,3555,4166
84,1,0,1682,2956,3565,4176
85,1,0,1683,2958,3555,4166
86,1,0,1690,2970,3556,4166
87,1,0,1691,2972,3556,4166
88,1,0,1683,2958,3560,4170
89,1,0,1694,2976,3556,4166
90,1,0,1696,2980,3559,4170
91,1,1,1704,2994,3523,4128
92,1,1,1698,2984,3524,4128
93,1,1,1704,2994,3516,4120
94,1,1,1702,2990,3519,4122
95,1,1,1699,2986,3522,4126
96,1,1,1701,2990,3519,4122
97,1,1,1698,2984,3519,4122
98,1,1,1706,2998,3523,4128
99,1,1,1698,2984,3521,4126
100,1,1,1697,2982,3523,4128
101,1,1,1702,2990,3521,4126
102,1,1,1695,2978,3521,4126
103,1,1,1697,2982,3520,4124
104,1,1,1699,2986,3526,4132
105,1,1,1696,2980,3526,4132
106,1,1,1683,2958,3521,4126
107,1,1,1696,2980,3517,4120
108,1,1,1696,2980,3519,4122
109,1,1,65523,115176,3526,4132
110,1,1,65517,115166,3443,4034
111,1,1,65515,115162,3456,4050
112,1,1,65516,115164,3448,4040
113,1,1,65510,115154,3443,4034
114,1,1,65511,115156,3445,4036
115,1,1,65512,115156,3444,4034
116,1,1,65510,115154,3438,4028
117,1,1,65508,115150,3433,4022
118,1,1,65515,115162,3433,4022
119,1,1,65515,115162,3436,4026
120,1,1,65512,115156,3430,4018
121,1,1,65513,115158,3443,4034
122,1,1,65515,115162,3424,4012
123,1,1,65507,115148,3417,4004
124,1,1,65513,115158,3424,4012
125,1,1,65512,115156,3412,3998
126,1,1,65513,115158,3412,3998
127,1,1,65512,115156,3406,3990
128,1,1,65517,115166,3424,4012
129,1,1,65512,115156,3412,3998
130,1,1,65512,115156,3417,4004
131,1,1,65512,115156,3403,3986
132,1,1,65504,115142,3402,3986
133,1,1,65507,115148,3398,3982
134,1,1,65503,115140,3402,3986
135,1,1,65512,115156,3388,3970
136,1,1,65507,115148,3392,3974
137,1,1,65507,115148,3383,3964
138,1,1,65508,115150,3385,3966
139,1,1,65507,115148,3386,3966
140,1,1,65503,115140,3383,3964
141,1,1,65504,115142,3379,3958
142,1,1,65518,115168,3378,3958
143,1,1,65509,115152,3377,3956
144,1,1,65503,115140,3366,3944
145,1,1,65503,115140,3368,3946
146,1,1,65503,115140,3372,3950
147,1,1,65507,115148,3368,3946
148,1,1,65514,115160,3388,3970
149,1,1,65513,115158,3394,3976
150,1,1,65512,115156,3385,3966
151,1,1,65515,115162,3382,3962
152,1,1,65518,115168,3392,3974
153,1,1,65515,115162,3371,3950
154,1,1,65509,115152,3375,3954
155,1,1,65518,115168,3381,3962
156,1,1,65503,115140,3375,3954
157,1,1,65513,115158,3363,3940
158,1,1,65513,115158,3382,3962
159,1,1,65520,115170,3361,3938
160,1,1,65514,115160,3376,3956
161,1,1,65512,115156,3365,3942
162,1,1,65516,115164,3362,3938
163,1,1,65509,115152,3362,3938
164,1,1,65509,115152,3371,3950
165,1,1,65520,115170,3360,3936
166,1,1,65510,115154,3349,3924
167,1,1,65511,115156,3350,3924
168,1,1,65512,115156,3353,3928
169,1,1,65508,115150,3360,3936
170,1,1,65512,115156,3343,3916
171,1,1,65507,115148,3344,3918
172,1,1,65516,115164,3352,3928
173,1,1,65514,115160,3343,3916
174,1,1,65509,115152,3339,3912
175,1,1,65511,115156,3339,3912
176,1,1,65509,115152,3341,3914
177,1,1,65510,115154,3331,3902
178,1,1,65512,115156,3334,3906
179,1,1,65506,115146,3337,3910
180,1,1,65511,115156,3335,3908
181,1,1,65511,115156,3333,3904
182,1,1,65511,115156,3329,3900
183,1,1,65510,115154,3335,3908
184,1,1,65514,115160,3331,3902
185,1,1,65506,115146,3327,3898
186,1,1,65512,115156,3332,3904
187,1,1,65512,115156,3323,3894
188,1,1,65516,115164,3323,3894
189,1,1,65512,115156,3319,3888
190,1,1,65513,115158,3322,3892
191,1,1,65510,115154,3317,3886
192,1,1,65508,115150,3332,3904
193,1,1,65511,115156,3319,3888
194,1,1,65514,115160,3323,3894
195,1,1,65511,115156,3312,3880
196,1,1,65504,115142,3311,3880
197,1,1,65509,115152,3314,3882
198,1,1,65515,115162,3310,3878
199,1,1,65505,115144,3316,3884
200,1,1,65508,115150,3314,3882
201,1,1,65511,115156,3303,3870
202,1,1,65508,115150,3308,3876
203,1,1,65507,115148,3301,3868
204,1,1,65509,115152,3300,3866
205,1,1,65507,115148,3295,3860
206,1,1,65510,115154,3295,3860
207,1,1,65516,115164,3299,3866
208,1,1,65511,115156,3300,3866
209,1,1,65504,115142,3289,3854
210,1,1,65507,115148,3291,3856
211,1,1,65511,115156,3290,3854
212,1,1,65512,115156,3293,3858
213,1,1,65509,115152,3281,3844
214,1,1,65513,115158,3281,3844
215,1,1,65513,115158,3288,3852
216,1,1,65517,115166,3286,3850
217,1,1,65509,115152,3279,3842
218,1,1,65513,115158,3288,3852
219,1,1,65514,115160,3278,3840
220,1,1,65503,115140,3277,3840
221,1,1,65508,115150,3278,3840
222,1,1,65509,115152,3271,3832
223,1,1,65506,115146,3273,3834
224,1,1,65507,115148,3271,3832
225,1,1,65506,115146,3271,3832
226,1,1,65505,115144,3268,3828
227,1,1,65502,115140,3286,3850
228,1,1,65510,115154,3276,3838
229,1,1,65512,115156,3258,3816
230,1,1,65506,115146,3266,3826
231,1,1,65507,115148,3268,3828
232,1,1,65510,115154,3257,3816
233,1,1,65508,115150,3259,3818
234,1,1,65504,115142,3261,3820
235,1,1,65506,115146,3260,3820
236,1,1,65510,115154,3264,3824
237,1,1,65511,115156,3257,3816
238,1,1,65505,115144,3258,3816
239,1,1,65508,115150,3261,3820
240,1,1,65506,115146,3250,3808
241,1,1,65508,115150,3251,3808
242,1,1,65503,115140,3252,3810
243,1,1,65507,115148,3247,3804
244,1,1,65505,115144,3251,3808
245,1,1,65505,115144,3239,3794
246,1,1,65508,115150,3254,3812
247,1,1,65501,115138,3231,3786
248,1,1,65510,115154,3244,3800
249,1,1,65513,115158,3245,3802
250,1,1,65503,115140,3248,3806
251,1,1,65507,115148,3234,3788
252,1,1,65508,115150,3237,3792
253,1,1,65518,115168,3235,3790
254,1,1,65510,115154,3242,3798
255,1,1,65511,115156,3230,3784
256,1,1,65509,115152,3233,3788
257,1,1,65503,115140,3236,3792
258,1,1,65508,115150,3225,3778
259,1,1,65506,115146,3232,3786
260,1,1,65507,115148,3230,3784
261,1,1,65504,115142,3215,3766
262,1,1,65509,115152,3224,3778
263,1,1,65505,115144,3224,3778
264,1,1,65508,115150,3226,3780
265,1,1,65506,115146,3223,3776
266,1,1,65505,115144,3216,3768
267,1,1,65503,115140,3210,3760
268,1,1,65502,115140,3214,3766
269,1,1,65504,115142,3224,3778
270,1,1,65507,115148,3216,3768
271,1,1,65503,115140,3207,3758
272,1,1,65509,115152,3212,3764
273,1,1,65500,115136,3216,3768
274,1,1,65503,115140,3216,3768
275,1,1,65505,115144,3208,3758
276,1,1,65503,115140,3208,3758
277,1,1,65502,115140,3204,3754
278,1,1,65503,115140,3204,3754
279,1,1,65505,115144,3208,3758
280,1,1,65504,115142,3199,3748
281,1,1,65502,115140,3195,3744
282,1,1,65501,115138,3198,3746
283,1,1,65499,115134,3192,3740
284,1,1,65509,115152,3201,3750
285,1,1,65500,115136,3198,3746
286,1,1,65501,115138,3194,3742
287,1,1,65508,115150,3198,3746
288,1,1,65512,115156,3193,3740
289,1,1,65498,115132,3200,3750
290,1,1,65502,115140,3175,3720
291,1,1,65500,115136,3179,3724
292,1,1,65504,115142,3180,3726
293,1,1,65499,115134,3175,3720
294,1,1,65497,115130,3180,3726
295,1,1,65504,115142,3180,3726
296,1,1,65495,115126,3170,3714
297,1,1,65501,115138,3170,3714
298,1,1,65496,115128,3169,3712
299,1,1,65503,115140,3161,3704
300,1,1,65499,115134,3162,3704
301,1,1,65491,115120,3162,3704
302,1,1,65480,115100,3120,3656
303,1,1,65460,115066,3080,3608
304,1,1,65463,115070,3083,3612
305,1,1,65395,114952,2903,3400
306,1,1,65462,115068,3092,3622
307,1,1,65437,115024,3006,3522
308,1,1,65464,115072,3067,3594
309,1,1,65457,115060,3074,3602
310,1,1,65477,115096,3106,3638
311,1,1,65469,115082,3095,3626
312,1,1,65463,115070,3091,3622
313,1,1,65479,115098,3107,3640
314,1,1,65472,115086,3079,3608
315,1,1,65467,115078,3075,3602
316,1,1,65480,115100,3099,3630
317,1,1,65483,115106,3109,3642
318,1,1,65482,115104,3112,3646
319,1,1,65483,115106,3108,3642
320,1,1,65482,115104,3105,3638
321,1,1,65466,115076,3064,3590
322,1,1,65480,115100,3092,3622
323,1,1,65475,115092,3111,3644
324,1,1,65487,115112,3111,3644
325,1,1,65482,115104,3116,3650
326,1,1,65485,115110,3108,3642
327,1,1,65482,115104,3100,3632
328,1,1,65486,115112,3096,3628
329,1,1,65474,115090,3083,3612
330,1,1,65467,115078,3072,3600
331,1,1,65480,115100,3090,3620
332,1,1,65475,115092,3088,3618
333,1,1,65474,115090,3071,3598
334,1,1,65477,115096,3085,3614
335,1,1,65482,115104,3079,3608
336,1,1,65474,115090,3072,3600
337,1,1,65477,115096,3092,3622
338,1,1,65479,115098,3095,3626
339,1,1,65488,115114,3078,3606
340,1,1,65477,115096,3071,3598
341,1,1,65480,115100,3075,3602
342,1,1,65481,115102,3099,3630
343,1,1,65483,115106,3087,3616
344,1,1,65487,115112,3092,3622
345,1,1,65482,115104,3088,3618
346,1,1,65490,115118,3091,3622
347,1,1,65486,115112,3088,3618
348,1,1,65487,115112,3091,3622
349,1,1,65486,115112,3087,3616
350,1,1,65484,115108,3089,3618
351,1,1,65474,115090,3068,3594
352,1,1,65481,115102,3068,3594
353,1,1,65487,115112,3096,3628
354,1,1,65482,115104,3083,3612
355,1,1,65489,115116,3095,3626
356,1,1,65487,115112,3089,3618
357,1,1,65492,115122,3103,3636
358,1,1,65488,115114,3084,3614
359,1,1,65488,115114,3080,3608
360,1,1,65481,115102,3077,3604
361,1,1,65488,115114,3076,3604
362,1,1,65487,115112,3081,3610
363,1,1,65486,115112,3075,3602
364,1,1,65480,115100,3066,3592
365,1,1,65476,115094,3061,3586
366,1,1,65477,115096,3064,3590
367,1,1,65472,115086,3052,3576
368,1,1,65473,115088,3044,3566
369,1,1,65477,115096,3044,3566
370,1,1,65485,115110,3062,3588
371,1,1,65477,115096,3060,3584
372,1,1,65488,115114,3073,3600
373,1,1,65487,115112,3072,3600
374,1,1,65485,115110,3067,3594
375,1,1,65487,115112,3088,3618
376,1,1,65487,115112,3072,3600
377,1,1,65491,115120,3072,3600
378,1,1,65483,115106,3072,3600
379,1,1,65486,115112,3070,3596
380,1,1,65492,115122,3074,3602
381,1,1,65494,115126,3076,3604
382,1,1,65485,115110,3064,3590
383,1,1,65496,115128,3070,3596
384,1,1,65481,115102,3055,3580
385,1,1,65481,115102,3056,3580
386,1,1,65488,115114,3048,3570
387,1,1,65475,115092,3040,3562
388,1,1,65477,115096,3029,3548
389,1,1,65466,115076,3007,3522
390,1,1,65466,115076,3003,3518
391,1,1,65478,115098,3020,3538
392,1,1,65481,115102,3030,3550
393,1,1,65482,115104,3037,3558
394,1,1,65476,115094,3021,3540
395,1,1,65454,115054,2967,3476
396,1,1,65459,115064,2977,3488
397,1,1,65469,115082,3016,3534
398,1,1,65479,115098,3032,3552
399,1,1,65469,115082,3011,3528
400,1,1,65470,115082,3007,3522
401,1,1,65477,115096,3017,3534
402,1,1,65480,115100,3023,3542
403,1,1,65470,115082,2997,3512
404,1,1,65471,115084,3008,3524
405,1,1,65476,115094,3031,3550
406,1,1,65487,115112,3025,3544
407,1,1,65484,115108,3032,3552
408,1,1,65471,115084,2996,3510
409,1,1,65477,115096,3003,3518
410,1,1,65479,115098,3016,3534
411,1,1,65482,115104,3025,3544
412,1,1,65478,115098,3024,3542
413,1,1,65479,115098,3022,3540
414,1,1,65481,115102,3018,3536
415,1,1,65484,115108,3007,3522
416,1,1,65467,115078,3019,3536
417,1,1,65475,115092,3007,3522
418,1,1,65472,115086,2994,3508
419,1,1,65473,115088,3000,3514
420,1,1,65477,115096,3009,3526
421,1,1,65479,115098,3009,3526
422,1,1,65477,115096,3015,3532
423,1,1,65479,115098,3020,3538
424,1,1,65479,115098,3005,3520
425,1,1,65477,115096,3010,3526
426,1,1,65471,115084,3001,3516
427,1,1,65477,115096,3009,3526
428,1,1,65484,115108,3016,3534
429,1,1,65482,115104,3011,3528
430,1,1,65477,115096,2999,3514
431,1,1,65479,115098,3008,3524
