minutes,charger_en,stat,ts_raw,ts_mV,vbat_raw,vbat_mV
0,1,1,65529,115186,2560,3000
0,1,1,65523,115176,2553,2990
1,1,0,1252,2200,2992,3506
2,1,0,1230,2162,3071,3598
3,1,0,1231,2162,3091,3622
100,1,0,1352,2376,3432,4020
101,1,0,1364,2396,3430,4018
104,1,0,1364,2396,3449,4040
105,1,0,1368,2404,3449,4040
108,1,0,1373,2412,3468,4064
126,1,0,1424,2502,3520,4124
127,1,0,1421,2496,3508,4110
130,1,0,1437,2524,3527,4132
131,1,0,1436,2524,3529,4134
132,1,0,1440,2530,3528,4134
133,1,0,1440,2530,3536,4142
134,1,0,1441,2532,3536,4142
135,1,0,1447,2542,3532,4138
136,1,0,1447,2542,3540,4148
137,1,0,1447,2542,3544,4152
138,1,0,1459,2564,3546,4154
139,1,0,1453,2554,3546,4154
140,1,0,1464,2572,3540,4148
141,1,0,1466,2576,3546,4154
142,1,0,1471,2584,3540,4148
143,1,0,1468,2580,3549,4158
144,1,0,1476,2594,3554,4164
145,1,0,1479,2598,3551,4160
146,1,0,1486,2612,3550,4160
147,1,0,1489,2616,3552,4162
148,1,0,1493,2624,3548,4156
149,1,0,1495,2626,3554,4164
150,1,0,1502,2640,3554,4164
151,1,0,1514,2660,3560,4170
152,1,0,1516,2664,3552,4162
153,1,0,1523,2676,3547,4156
154,1,0,1529,2686,3557,4168
155,1,0,1532,2692,3555,4166
156,1,0,1535,2698,3557,4168
157,1,0,1543,2712,3557,4168
158,1,0,1552,2728,3557,4168
159,1,0,1556,2734,3568,4180
160,1,0,1557,2736,3557,4168
161,1,0,1560,2742,3558,4168
162,1,0,1580,2776,3555,4166
163,1,0,1582,2780,3559,4170
164,1,0,1581,2778,3561,4172
165,1,0,1585,2786,3559,4170
166,1,0,1583,2782,3552,4162
167,1,0,1605,2820,3559,4170
168,1,0,1608,2826,3564,4176
169,1,0,1607,2824,3560,4170
170,1,0,1612,2832,3554,4164
171,1,0,1612,2832,3563,4174
172,1,0,1619,2844,3564,4176
173,1,0,1624,2854,3554,4164
174,1,0,1624,2854,3558,4168
175,1,0,1627,2858,3555,4166
176,1,0,1632,2868,3563,4174
177,1,0,1634,2872,3564,4176
178,1,0,1636,2874,3551,4160
179,1,0,1646,2892,3562,4174
180,1,0,1643,2888,3555,4166
181,1,0,1647,2894,3559,4170
182,1,0,1652,2902,3557,4168
183,1,0,1653,2904,3563,4174
184,1,0,1656,2910,3565,4176
185,1,0,1653,2904,3559,4170
186,1,0,1660,2916,3559,4170
187,1,0,1660,2916,3576,4190
188,1,0,1672,2938,3566,4178
189,1,0,1670,2934,3559,4170
190,1,0,1668,2932,3561,4172
191,1,0,1671,2936,3564,4176
192,1,0,1673,2940,3559,4170
193,1,0,1675,2944,3564,4176
194,1,0,1671,2936,3566,4178
195,1,0,1671,2936,3562,4174
196,1,0,1675,2944,3539,4146
197,1,0,1679,2950,3561,4172
198,1,0,1678,2948,3562,4174
199,1,0,1686,2962,3570,4182
200,1,0,1683,2958,3566,4178
201,1,0,1681,2954,3558,4168
202,1,0,1688,2966,3564,4176
203,1,0,1691,2972,3564,4176
204,1,0,1687,2964,3561,4172
205,1,0,1693,2974,3561,4172
206,1,0,1689,2968,3551,4160
207,1,0,1690,2970,3562,4174
208,1,0,1686,2962,3565,4176
209,1,0,1697,2982,3559,4170
210,1,0,1698,2984,3560,4170
211,1,0,1695,2978,3559,4170
212,1,0,1698,2984,3567,4180
213,1,0,1704,2994,3559,4170
214,1,0,1696,2980,3568,4180
215,1,0,1698,2984,3560,4170
216,1,0,1696,2980,3561,4172
217,1,1,1703,2992,3528,4134
218,1,1,1700,2988,3519,4122
219,1,1,1695,2978,3522,4126
220,1,1,1704,2994,3528,4134
221,1,1,1699,2986,3516,4120
222,1,1,1704,2994,3521,4126
223,1,1,1706,2998,3525,4130
224,1,1,1700,2988,3520,4124
225,1,1,1705,2996,3515,4118
226,1,1,1700,2988,3529,4134
227,1,1,1700,2988,3520,4124
228,1,1,1699,2986,3517,4120
229,1,1,1706,2998,3524,4128
